Studentid,Password,Name,phone number,Cgpa,parents contact,gmail
1,id1,Ram,9000362932,9,9321782317,Ram@gmail.com
2,id2,Shyam,9031272233,8.8,9123763216,Shyam@gmail.com
3,id3,prem,9321676318,10,9137827487,prem@gmail.com
4,id4,lashman,9312661237,9.5,9317287132,lashman@gmail.com
5,id5,Ramesh,9312621366,9.3,9138297321,Ramesh@gmail.com
6,id6,Suresh,9361231612,9.2,9127837772,Suresh@gmail.com
7,id7,mahesh,9127836126,9.4,9123787317,mahesh@gmail.com
8,id8,Teja,9132667216,9.5,9723171377,Teja@gmail.com
9,id9,Varma,9371266216,9.7,9813763154,Varma@gmail.com
10,id10,Sharma,9317278788,10,9147544163,Sharma@gmail.com
